Item,Category,Brand,Model,ASSESSMENT,"Repair status","Spare parts",Event,Group,Date,"Waste prevented","CO2 emissions prevented",POWERED
Headphones,Headphones,AKG,N60,"One side not working having been sat on. Audio aux cable 3.5m 3 separate lines.",Fixed,,"We Are 336","Repair Café Lambeth",2023-06-03,0.4,1.5,Powered
"External SSD","PC accessory",Seagate,,"Broken charging port. Internals working fine but case needs replacing.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-06-03,0,0,Powered
"Portable Speaker","Handheld entertainment device",JBL,"Xtreme 2","Broken audio port. Broken connectors soldered.",Fixed,,"We Are 336","Repair Café Lambeth",2023-06-03,0.14,11.355,Powered
"Oil filled radiator",Misc,"Pro Breeze",,"Replacement  sent under warranty, neither would switch on and vendor not responding. The gravity (upright switch) was stuck. Ball freed, switch re-installed, circuit re-insulated.",Fixed,,"We Are 336","Repair Café Lambeth",2023-06-03,005.000,80.166980825,Powered
"flatscreen LCD","Flat screen 22-24""",Xentra,,"Stand ""broken"" but just missing screws. 2 new generic screws required.",Repairable,"No spare parts required","We Are 336","Repair Café Lambeth",2023-06-03,0,0,Powered
Headphones,Headphones,Bose,,"Plastic socket connection between cups and headband broken.",Repairable,,"We Are 336","Repair Café Lambeth",2023-06-03,0,0,Powered
Multi-cutter,"Power tool",Bosch,,"Mains powered device not powering on. Internal issue.",Repairable,,"We Are 336","Repair Café Lambeth",2023-06-03,0,0,Powered
Keyboard,"PC accessory",Apple,,"Water damaged.",Repairable,,"We Are 336","Repair Café Lambeth",2023-06-03,0,0,Powered
"Mobile phone",Mobile,Apple,"iPhone 4","Not charging. New battery required.",Repairable,"Parts required - from manufacturer","We Are 336","Repair Café Lambeth",2023-06-03,0,0,Powered
Laptop,"Laptop medium",Toshiba,"Satellite P200-1EE","Not powering on. Internals damaged by water/humidity.",End-of-life,,"We Are 336","Repair Café Lambeth",2023-06-03,0,0,Powered
Headphones,Headphones,Sony,,"Broken wire causing sound problems.",Repairable,,"We Are 336","Repair Café Lambeth",2023-06-03,0,0,Powered
"Sewing machine","Sewing machine",Singer,,"Bobbin not winding, some functions not working e.g. backstitch. Needed lubrication and maintenance.",Fixed,,"We Are 336","Repair Café Lambeth",2023-06-03,8.6,17.5,Powered
Strimmer,"Power tool",,,"Spindle and blades gunged up with garden matter. Good clean out. Device was salvaged from a dump.",Fixed,,"We Are 336","Repair Café Lambeth",2023-06-03,1.65,13.325,Powered
"Pocket radio","Portable radio",Hitachi,KH-005,"Stopped working. Tried fresh batteries however they were not charged enough. Requires new, fully-charged batteries.",Fixed,,"We Are 336","Repair Café Lambeth",2023-06-03,2.06,27.325,Powered
Blender,"Small kitchen item",Ambiano,,"Not switching on. Thermal circuit breaker needs replacing.",Repairable,"Parts required - from 3rd party","We Are 336","Repair Café Lambeth",2023-06-03,0,0,Powered
Laptop,"Laptop medium",Acer,Swift,"Screen issue when using trackpad during boot sequence. Obscure software problem, gave workaround, i.e. avoid using trackpad during boot up.",Fixed,,"We Are 336","Repair Café Lambeth",2023-06-03,1.83,132.66,Powered
"Wind-up radio","Portable radio",Ranger,"Freeplay AM/FM","Winding mechanism broken. Glue debris blocking it, cleared out and working.",Fixed,,"We Are 336","Repair Café Lambeth",2023-06-03,2.06,27.325,Powered
"Desk fan",Fan,,,"Switches on but not rotating. Could not reproduce, worked OK.",Fixed,,"We Are 336","Repair Café Lambeth",2023-06-03,3.9,7.8,Powered
